year,month,country_1_iso3,country_2_iso3,avg_tone,article_count,goldstein_scale_avg
2025,11,AFR,MAR,4.42477876106195,1,1.9
2025,11,KEN,HTI,-5.26315789473684,3,-10.0
2025,11,ITA,AFG,3.0116008755459154,4,0.0
2025,11,MDV,SVK,-5.16431924882629,1,-10.0
2025,11,HUN,AZE,1.45985401459854,4,4.5
2025,11,AUT,CZE,-5.155425667388494,3,-7.333333333333334
2025,11,VEN,ISR,-6.89655172413794,2,-5.0
2025,11,MYS,USA,1.1545683441830652,15,2.2466666666666666
2025,11,GHA,CHN,-4.369453921965144,2,4.9
2025,11,CHN,PRK,-6.2485441416259,9,0.44444444444444464
2025,11,MDV,ITA,-0.535651067359622,5,-2.36
2025,11,BHS,CUB,0.51724137931034,1,0.4
2025,11,EGY,GBR,-2.5241682532614433,21,-0.16666666666666696
2025,11,GBR,BHS,-5.26315789473684,1,-2.0
2025,11,BTN,USA,-6.45161290322581,2,3.0
2025,11,NZL,CZE,-4.1343669250646,1,-2.0
2025,11,HUN,POL,-3.5321085733200617,9,2.6666666666666665
2025,11,NGA,JPN,2.3142271667620666,3,-3.2
2025,11,DNK,EST,-2.543288340727225,4,4.0
2025,11,CZE,POL,-1.2486170380907273,3,6.266666666666667
2025,11,BRA,CAN,-2.6034048407907022,8,5.225
2025,11,CHN,AFR,0.617909212989956,29,2.586206896551724
2025,11,DEU,AFG,-3.63084709607754,3,5.866666666666667
2025,11,AZE,DNK,0.4123244525111139,13,1.9230769230769231
2025,11,CHL,SUR,6.9364161849711,3,3.3333333333333335
2025,11,NGA,CAN,0.42253521126761,4,-7.0
2025,11,USA,BGR,-0.6329303332127276,21,2.052380952380952
2025,11,CUB,CHL,-2.80146163215591,1,1.9
2025,11,TUN,AUS,-2.785946238499005,2,-3.1000000000000005
2025,11,THA,IND,0.0,2,0.3999999999999999
2025,11,USA,BGD,-13.9534883720931,1,-10.0
2025,11,FRA,BLR,1.353525106876315,4,3.0
2025,11,RUS,CZE,-5.54875560995512,4,-2.0
2025,11,NOR,DOM,5.92105263157895,3,8.0
2025,11,KOR,EGY,2.28758169934641,2,2.95
2025,11,ISR,IRL,-2.01909532008139,2,1.0
2025,11,SYR,PSE,1.1059380569235133,6,0.25
2025,11,ESP,PLW,5.48780487804878,1,2.8
2025,11,SWE,SGP,6.2645011600928,4,4.0
2025,11,SWE,AUS,-3.05250305250305,1,-5.0
2025,11,NPL,FIN,-5.03597122302158,2,1.9
2025,11,FRA,GRC,-0.0049275583284551505,10,3.02
2025,11,TUR,AUS,-0.08754664830958031,33,0.5696969696969698
2025,11,EST,LTU,-2.1694181797897,8,4.25
2025,11,GRC,CAN,0.48805977268686496,4,1.825
2025,11,SEA,FRA,-6.401732273225704,9,0.16666666666666657
2025,11,SGP,PHL,-2.807663172389733,11,4.718181818181819
2025,11,AUT,ITA,4.3010752688172,1,3.4
2025,11,EUR,VNM,-2.27272727272728,1,7.0
2025,11,AUT,HUN,-3.48837209302326,1,-10.0
2025,11,UKR,SDN,-0.22724358517716503,4,-7.1
2025,11,PSE,CZE,-7.710823226212604,3,-2.066666666666667
2025,11,TWN,JAM,1.00361300682457,1,-4.4
